feature,feature_set,d_precision_CTX_minus_noCTX,d_recall_CTX_minus_noCTX,d_f1_CTX_minus_noCTX
aint,25,0.025126814527008767,0.0,0.02893152274998778
appositive-pleonastic-pronoun,25,0.16666666666666669,0.03333333333333334,0.05555555555555555
bare-got,25,-0.0005172302260979533,-0.04166666666666674,-0.005443633067002351
be-construction,25,-0.023338156773006713,0.0,-0.035378654382861946
bin,25,0.1596821337230544,-0.04166666666666674,0.09367809712637298
come,25,0.0,0.0,0.0
demonstrative-them,25,0.0,0.0,0.0
double-modal,25,0.0,0.0,0.0
double-object,25,0.08333333333333337,-0.25,-0.11111111111111127
existential-it,25,-0.05668220668220664,-0.17105263157894735,-0.15989249773082337
finna,25,0.0,0.0,0.0
is-was-gen,25,0.15156363482231344,-0.016666666666666607,0.11576293350306444
multiple-neg,25,0.021866364268043975,1.1102230246251565e-16,0.02400145874875559
n-inv-neg-concord,25,0.0,0.0,0.0
neg-inversion,25,0.0,0.0,0.0
past-tense-swap,25,0.0021344396344396277,0.013888888888888895,0.010922377080913676
preterite-had,25,-0.026246449243870023,-0.6666666666666666,-0.05048234029516144
resultant-done,25,0.0787698412698413,0.0,0.11269841269841271
verb-stem,25,0.0027455386915543403,-0.02083333333333333,0.00030501505817449176
zero-3sg-pres-s,25,0.029288091141621453,0.01315789473684209,0.028023925755661816
zero-copula,25,-0.05820548547467044,-0.10683760683760687,-0.07908598961961932
zero-pl-s,25,0.0,0.0,0.0
zero-poss,25,0.001760555804673436,-0.04999999999999999,-0.00047931526831318516
zero-rel-pronoun,25,0.0,0.0,0.0
