feature,mean_f1
bin,1.0
resultant-done,1.0
demonstrative-them,1.0
aint,0.9951923076923077
multiple-neg,0.8932885156195535
double-object,0.8401785714285714
is-was-gen,0.8202124389630147
bare-got,0.7853316868796745
appositive-pleonastic-pronoun,0.7747167534395821
zero-3sg-pres-s,0.770687607522279
zero-copula,0.759232588448581
be-construction,0.7566964285714286
zero-poss,0.7546117182050686
existential-it,0.681445619765302
zero-pl-s,0.6269085081585082
past-tense-swap,0.49071588481349326
verb-stem,0.3524102785649176
preterite-had,0.30104166666666665
n-inv-neg-concord,0.13333333333333333
zero-rel-pronoun,0.0807303076914798
neg-inversion,0.0
double-tense,0.0
come,0.0
